"","Year","Month","Day","Extent","Missing"
"122","1979",6,"  23",12.243,"      0.000"
"123","1979",6,"  25",12.112,"      0.000"
"124","1979",6,"  27",11.977,"      0.000"
"125","1979",6,"  29",11.829,"      0.000"
"126","1979",7,"  01",11.562,"      0.000"
"127","1979",7,"  03",11.363,"      0.000"
"128","1979",7,"  05",11.255,"      0.000"
"129","1979",7,"  07",10.936,"      0.000"
"130","1979",7,"  09",10.793,"      0.000"
"131","1979",7,"  11",10.662,"      0.000"
"132","1979",7,"  13",10.503,"      0.000"
"133","1979",7,"  15",10.401,"      0.000"
"134","1979",7,"  17",10.256,"      0.000"
"135","1979",7,"  19",9.927,"      0.000"
"136","1979",7,"  21",9.919,"      0.000"
"137","1979",7,"  23",9.668,"      0.000"
"138","1979",7,"  25",9.614,"      0.000"
"139","1979",7,"  27",9.556,"      0.000"
"140","1979",7,"  29",9.342,"      0.000"
"141","1979",7,"  31",9.223,"      0.000"
"142","1979",8,"  02",9,"      0.000"
"143","1979",8,"  04",8.859,"      0.000"
"144","1979",8,"  06",8.744,"      0.000"
"145","1979",8,"  08",8.61,"      0.000"
"146","1979",8,"  10",8.328,"      0.000"
"147","1979",8,"  12",8.284,"      0.000"
"148","1979",8,"  14",8.138,"      0.000"
"149","1979",8,"  16",7.971,"      0.000"
"150","1979",8,"  18",7.811,"      0.000"
"151","1979",8,"  20",7.659,"      0.000"
"152","1979",8,"  22",7.566,"      0.000"
"153","1979",8,"  24",7.577,"      0.000"
"154","1979",8,"  26",7.421,"      0.000"
"155","1979",8,"  28",7.364,"      0.000"
"156","1979",8,"  30",7.284,"      0.000"
"157","1979",9,"  01",7.228,"      0.000"
"158","1979",9,"  03",7.147,"      0.000"
"159","1979",9,"  05",7.037,"      0.000"
"160","1979",9,"  07",7.075,"      0.000"
"161","1979",9,"  09",7.092,"      0.000"
"162","1979",9,"  11",6.981,"      0.000"
"163","1979",9,"  13",7.003,"      0.000"
"164","1979",9,"  15",7.007,"      0.000"
"165","1979",9,"  17",7.001,"      0.000"
"166","1979",9,"  19",6.91,"      0.000"
"167","1979",9,"  21",6.895,"      0.000"
"168","1979",9,"  23",7.033,"      0.000"
"169","1979",9,"  25",7.058,"      0.000"
"170","1979",9,"  27",7.127,"      0.000"
"171","1979",9,"  29",7.173,"      0.000"
"172","1979",10,"  01",7.404,"      0.000"
"173","1979",10,"  03",7.534,"      0.000"
"174","1979",10,"  05",7.813,"      0.000"
"175","1979",10,"  07",7.878,"      0.000"
"176","1979",10,"  09",8.115,"      0.000"
"177","1979",10,"  11",8.136,"      0.000"
"178","1979",10,"  13",8.338,"      0.000"
"179","1979",10,"  15",8.57,"      0.000"
"180","1979",10,"  17",8.938,"      0.000"
"181","1979",10,"  19",9.19,"      0.000"
"182","1979",10,"  21",9.295,"      0.000"
"183","1979",10,"  23",9.466,"      0.000"
"184","1979",10,"  25",9.7,"      0.000"
"185","1979",10,"  27",9.869,"      0.000"
"186","1979",10,"  29",9.797,"      0.000"
